# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "24" "-F" "GFF" "-t" "gene" "-g" "ID" "-s" "2" "-a" "/mnt/data/transcriptomica/iperez/proyectofinal/data/genomes/E_coli_and_T4_fixed.gff" "-o" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/featureCounts/gene_counts.txt" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam
gene-b0001	ENA|U00096|U00096.3	190	255	+	66	32	202	118	195	421	77	775	818	231	3110	1161	5367	1081	2217	3033
gene-b0002	ENA|U00096|U00096.3	337	2799	+	2463	194	338	308	737	789	374	1653	1090	2103	2830	2515	5035	3486	6297	8681
gene-b0003	ENA|U00096|U00096.3	2801	3733	+	933	76	208	192	505	496	246	1213	605	1186	2002	2217	4457	2529	3555	6499
gene-b0004	ENA|U00096|U00096.3	3734	5020	+	1287	144	315	343	886	934	522	2147	1214	1551	3499	3288	7366	4069	7452	11322
gene-b0005	ENA|U00096|U00096.3	5234	5530	+	297	23	53	41	135	203	82	376	277	320	596	597	1196	609	1181	1603
gene-b0006	ENA|U00096|U00096.3	5683	6459	-	777	75	218	130	246	424	173	569	586	551	2177	3237	4227	1447	3595	2872
gene-b0007	ENA|U00096|U00096.3	6529	7959	-	1431	17	75	56	100	164	52	152	148	789	972	1642	2487	809	1926	1619
gene-b0008	ENA|U00096|U00096.3	8238	9191	+	954	1079	3496	2596	5392	8707	3615	13220	11136	7678	33278	48989	72682	27245	66818	53857
gene-b0009	ENA|U00096|U00096.3	9306	9893	+	588	82	352	243	533	944	387	1323	1218	1067	3281	5106	7192	2101	5212	4467
gene-b0010	ENA|U00096|U00096.3	9928	10494	-	567	30	145	81	157	383	146	844	1172	761	1034	1356	1633	590	1188	860
gene-b0011	ENA|U00096|U00096.3	10643	11356	-	714	0	4	0	4	9	4	15	9	337	37	55	80	23	69	51
gene-b0012	ENA|U00096|U00096.3	10830	11315	+	486	2	3	5	1	9	6	12	11	119	27	80	92	20	28	34
gene-b0013	ENA|U00096|U00096.3	11382	11786	-	405	1	1	3	2	9	0	8	8	53	18	38	53	10	41	27
gene-b0014	ENA|U00096|U00096.3	12163	14079	+	1917	1753	3667	3290	10748	11900	6021	28725	18332	12670	48328	44395	65947	41344	62507	80522
gene-b0015	ENA|U00096|U00096.3	14168	15298	+	1131	280	539	466	1610	1878	955	5338	3399	3024	6054	5213	7808	4659	6326	9315
gene-b0016	ENA|U00096|U00096.3	15445	16557	+	1113	0	4	0	7	18	1	45	25	13	53	39	61	41	50	80
gene-b0018	ENA|U00096|U00096.3	16751	16960	-	210	0	0	0	0	0	1	1	1	11	3	4	7	7	2	5
gene-b4412	ENA|U00096|U00096.3	16751	16903	-	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b4413	ENA|U00096|U00096.3	16952	17010	+	59	2	1	4	0	5	2	12	9	28	22	14	36	11	7	15
gene-b0019	ENA|U00096|U00096.3	17489	18655	+	1167	120	372	285	613	975	388	1908	1948	2084	2152	2637	2954	754	1821	1569
gene-b0020	ENA|U00096|U00096.3	18715	19620	+	906	32	98	75	153	279	111	419	407	593	655	924	1235	300	711	623
gene-b0021	ENA|U00096|U00096.3	19811	20314	-	504	1	0	0	3	1	1	2	5	4	8	17	26	5	6	13
gene-b0022	ENA|U00096|U00096.3	20233	20508	-	276	0	1	1	2	4	1	11	12	6	22	40	63	27	39	29
gene-b0023	ENA|U00096|U00096.3	20815	21078	-	264	1763	5596	4011	15249	32720	13421	57777	57088	31662	57824	73077	85417	27377	76953	50165
gene-b0024	ENA|U00096|U00096.3	21181	21399	+	219	2	6	7	10	24	6	17	32	96	90	133	203	99	170	162
gene-b0025	ENA|U00096|U00096.3	21407	22348	+	942	208	719	457	817	1608	554	2488	2421	1695	7110	10415	13264	4698	12722	11103
